"","x","freq"
"1",0,2
"2",0.3,2
"3",0.6,1
"4",0.9,2
"5",1.2,2
"6",1.5,2
"7",1.8,2
"8",2.1,1
"9",2.4,2
"10",2.7,1
"11",3,2
"12",3.3,2
"13",3.6,2
"14",3.9,2
"15",4.2,2
"16",4.5,2
"17",4.8,2
"18",5.1,2
"19",5.4,1
"20",5.7,2
"21",6,2
"22",6.3,2
"23",6.6,2
"24",6.9,2
"25",7,1
"26",7.2,2
"27",7.5,2
"28",7.8,2
"29",8.1,2
"30",8.4,2
"31",8.7,2
"32",9,2
"33",9.3,2
"34",9.6,2
"35",9.9,2
"36",10.2,2
"37",10.5,2
"38",10.8,2
"39",11.1,2
"40",11.4,2
"41",11.7,2
"42",12,2
"43",12.3,2
"44",12.6,2
"45",12.9,2
"46",13.2,2
"47",13.5,2
"48",13.8,2
"49",14.1,2
"50",14.4,2
"51",14.7,2
"52",15,2
"53",15.3,2
"54",15.6,2
"55",15.9,2
"56",16.2,2
"57",16.5,2
"58",16.8,2
"59",17.1,2
"60",17.4,2
"61",17.7,2
"62",18,3
"63",18.3,2
"64",18.6,2
"65",18.9,2
"66",19.2,2
"67",19.5,2
"68",19.8,2
"69",20.1,2
"70",20.4,2
"71",20.7,2
"72",21,2
"73",21.3,2
"74",21.6,2
"75",21.9,2
"76",22.2,1
"77",22.5,2
"78",22.8,2
"79",23.1,2
"80",23.4,2
"81",23.7,2
"82",24,2
"83",24.3,1
"84",24.6,1
"85",24.9,1
"86",25.2,1
"87",25.5,1
"88",25.8,1
"89",26.1,1
"90",26.4,1
"91",26.7,1
"92",27,1
"93",27.3,1
"94",27.6,1
"95",27.9,1
"96",28.2,1
"97",28.5,1
"98",28.8,1
"99",29.1,1
"100",29.4,1
"101",29.7,1
"102",30,1
"103",30.3,1
"104",30.6,1
"105",30.9,1
"106",31.2,1
"107",31.5,1
"108",31.8,1
"109",32.1,1
"110",32.4,1
"111",32.7,1
"112",33,1
"113",33.3,1
"114",33.6,1
"115",33.9,1
"116",34.2,1
"117",34.5,1
"118",34.8,1
"119",35.1,1
"120",35.4,1
"121",35.7,1
"122",36.9,1
"123",37.5,1
"124",37.8,1
"125",38.1,1
"126",38.7,1
"127",39,1
"128",39.3,1
"129",39.6,1
"130",39.9,1
"131",40.2,1
"132",40.5,1
"133",40.8,1
"134",41.1,1
"135",41.4,1
"136",41.7,1
"137",42,1
"138",42.3,1
"139",42.6,1
"140",42.9,1
"141",43.2,1
"142",43.5,1
"143",43.8,1
"144",44.1,1
"145",44.4,1
"146",44.7,1
"147",45,1
"148",45.3,1
"149",45.6,1
"150",45.9,1
"151",46.2,1
"152",46.5,1
"153",46.8,1
"154",47.1,1
"155",47.4,1
"156",47.7,1
"157",48,1
"158",48.3,1
"159",48.6,1
"160",48.9,1
"161",49.2,1
"162",49.5,1
"163",49.8,1
"164",50.1,1
"165",50.4,1
"166",50.7,1
"167",51,1
"168",51.3,1
"169",51.6,1
"170",51.9,1
"171",52.2,1
"172",52.5,1
"173",52.8,1
"174",53.1,1
"175",53.4,1
"176",53.7,1
"177",54,1
"178",54.6,1
"179",54.9,1
"180",55.2,1
"181",55.5,1
"182",55.8,1
"183",56.1,1
"184",56.4,1
"185",56.7,1
"186",57,1
"187",57.3,1
"188",57.6,1
"189",57.9,1
"190",58.2,1
"191",58.5,2
"192",58.8,2
"193",59.1,2
"194",59.4,3
"195",59.7,3
"196",60,3
"197",60.3,3
"198",60.6,3
"199",60.9,3
"200",61.2,3
"201",61.5,3
"202",61.8,3
"203",62.1,3
"204",62.4,3
"205",62.7,3
"206",63,3
"207",63.3,3
"208",63.6,2
"209",63.9,3
"210",64.2,3
"211",64.5,3
"212",64.8,3
"213",65.1,2
"214",65.4,3
"215",65.7,3
"216",66,3
"217",66.3,3
"218",66.6,3
"219",66.9,1
"220",67.2,3
"221",67.5,3
"222",67.8,3
"223",68.1,3
"224",68.4,2
"225",68.7,2
"226",69,2
"227",69.3,2
"228",69.6,2
"229",69.9,2
"230",70.2,1
"231",70.5,1
"232",70.8,1
"233",71.4,1
"234",72.3,1
"235",72.6,1
"236",72.9,1
"237",73.2,1
"238",73.5,1
"239",73.8,1
"240",74,1
"241",74.1,1
"242",74.4,1
"243",74.7,1
"244",75,1
"245",75.3,1
"246",75.6,1
"247",75.9,1
"248",76.2,1
"249",76.5,1
"250",76.8,1
"251",77.1,1
"252",77.4,1
"253",77.7,1
"254",78,1
"255",78.3,1
"256",78.6,1
"257",78.9,1
"258",79.2,1
"259",79.5,1
"260",79.8,1
"261",80.1,1
"262",80.4,1
"263",80.7,1
"264",81,1
"265",81.3,1
"266",81.6,1
"267",81.9,1
"268",82.2,1
"269",82.5,1
"270",82.8,1
"271",83.1,1
"272",83.4,1
"273",83.7,2
"274",84,2
"275",84.3,2
"276",84.6,1
"277",84.9,2
"278",85.2,2
"279",85.5,2
"280",85.8,2
"281",86.1,2
"282",86.4,1
"283",86.7,1
"284",87,2
"285",87.3,1
"286",87.6,2
"287",87.9,2
"288",88.2,2
"289",88.5,2
"290",88.8,2
"291",89.1,2
"292",120,1
"293",121,1
"294",124,1
"295",217,1
"296",223,1
"297",237,1
"298",240,1
"299",289,1
"300",291,1
