"1001_TRACK_MEAN_SPEED","2_TRACK_MEAN_SPEED","A3_TRACK_MEAN_SPEED","1001_TRACK_MEAN_SPEED","2_TRACK_MEAN_SPEED","A3_TRACK_MEAN_SPEED"
1.707,1.707,0.835,1.707,1.707,0.835
1.419,1.419,2.07,1.419,1.419,2.07
2.153,2.153,3.474,2.153,2.153,3.474
1.554,1.554,1.039,1.554,1.554,1.039
2.879,2.879,2.962,2.879,2.879,2.962
1.522,1.522,NA,1.522,1.522,NA
0.854,0.854,NA,0.854,0.854,NA
0.968,0.968,NA,0.968,0.968,NA
2.318,2.318,NA,2.318,2.318,NA
1.996,1.996,NA,1.996,1.996,NA
2.863,2.863,NA,2.863,2.863,NA
1.552,1.552,NA,1.552,1.552,NA
2.671,2.671,NA,2.671,2.671,NA
1.994,1.994,NA,1.994,1.994,NA
1.645,1.645,NA,1.645,1.645,NA
0.822,0.822,NA,0.822,0.822,NA
2.348,2.348,NA,2.348,2.348,NA
1.821,1.821,NA,1.821,1.821,NA
2.741,2.741,NA,2.741,2.741,NA
2.285,2.285,NA,2.285,2.285,NA
3.656,3.656,NA,3.656,3.656,NA
1.336,1.336,NA,1.336,1.336,NA
3.615,3.615,NA,3.615,3.615,NA
2.757,2.757,NA,2.757,2.757,NA
0.642,0.642,NA,0.642,0.642,NA
2.95,2.95,NA,2.95,2.95,NA
1.715,1.715,NA,1.715,1.715,NA
2.781,2.781,NA,2.781,2.781,NA
1.52,1.52,NA,1.52,1.52,NA
1.812,1.812,NA,1.812,1.812,NA
1.155,1.155,NA,1.155,1.155,NA
2.755,2.755,NA,2.755,2.755,NA
3.754,3.754,NA,3.754,3.754,NA
2.283,2.283,NA,2.283,2.283,NA
3.211,3.211,NA,3.211,3.211,NA
2.029,2.029,NA,2.029,2.029,NA
1.307,1.307,NA,1.307,1.307,NA
2.087,2.087,NA,2.087,2.087,NA
1.725,1.725,NA,1.725,1.725,NA
0.856,0.856,NA,0.856,0.856,NA
0.356,0.356,NA,0.356,0.356,NA
3.959,3.959,NA,3.959,3.959,NA
1.812,1.812,NA,1.812,1.812,NA
2.293,2.293,NA,2.293,2.293,NA
1.444,1.444,NA,1.444,1.444,NA
0.866,0.866,NA,0.866,0.866,NA
1.217,1.217,NA,1.217,1.217,NA
0.872,0.872,NA,0.872,0.872,NA
0.655,0.655,NA,0.655,0.655,NA
2.361,2.361,NA,2.361,2.361,NA
1.708,1.708,NA,1.708,1.708,NA
0.952,0.952,NA,0.952,0.952,NA
0.741,0.741,NA,0.741,0.741,NA
0.989,0.989,NA,0.989,0.989,NA
1.072,1.072,NA,1.072,1.072,NA
2.85,2.85,NA,2.85,2.85,NA
1.056,1.056,NA,1.056,1.056,NA
0.519,0.519,NA,0.519,0.519,NA
0.37,0.37,NA,0.37,0.37,NA
0.516,0.516,NA,0.516,0.516,NA
